LCT Materiais Construcao
21/2/2013
Inventário


QUANTIDADE; UNIDADE; DESCRIÇÃO; CÓDIGO; PR. CUSTO; PR. VENDA; LUCRO UN.
0,00;UN;ABAJUR LUZ NOTURNA URSO LED;5288;0,00;6,00;6,00
0,00;UN;ABAJUR SAO PAULO;5438;0,00;6,80;6,80
-5,00;;ABRAÇADEIRA 3/4 TIGRE;3966;0,00;2,30;2,30
1,00;;ABRAÇADEIRA AQUAPLUV TIGRE;3394;0,00;4,50;4,50
71,00;;ABRAÇADEIRA C/FURO P/FIXAÇAO 20 CM;6622;0,00;0,25;0,25
10,00;;ABRACADEIRA D 1/2 C/ PARAF.;2019;0,00;0,20;0,20
6,00;;ABRACADEIRA D C/ PARAF. 1";2018;0,00;0,30;0,30
91,00;;ABRACADEIRA D C/CUNHA 1;5845;0,16;0,40;0,24
35,00;;ABRACADEIRA D C/CUNHA 1/12;5843;0,54;0,80;0,26
99,00;;ABRAÇADEIRA D C/CUNHA 3/4;6193;0,17;0,30;0,13
44,00;;ABRACADEIRA DC/CUNHA 2;5844;0,48;0,90;0,42
88,00;;ABRAÇADEIRA DE ENCAIXE 15 CM COD151770;6623;0,00;0,25;0,25
100,00;;ABRAÇADEIRA DE NYLOM 48X400 UNIT;8010;0,15;0,25;0,10
90,00;;ABRAÇADEIRA DE NYLOM BRANCA 36X300 UNIT;7094;0,06;0,15;0,09
2,00;;ABRAÇADEIRA DE NYLOM BRANCA 4,8X400 PCTE C100;8009;15,18;24,00;8,82
86,00;;ABRAÇADEIRA DE NYLOM BRANCA 48X400 PC;7944;0,15;0,25;0,10
3,00;;ABRAÇADEIRA DE NYLON  PRETA 4,8X300 PCT;5973;8,82;15,00;6,18
95,00;;ABRAÇADEIRA DE NYLON BRANCA 3,6X370 UN;7713;0,09;0,20;0,11
2,00;;ABRAÇADEIRA DE NYLON BRANCA 36X300 X/100;7712;6,39;9,00;2,61
3,00;;ABRAÇADEIRA DE NYLON BRANCA 36X370 C/100;7714;9,88;15,00;5,12
74,00;;ABRAÇADEIRA DE NYLON BRANCA 4,8X250 UNIT;6753;0,12;0,20;0,08
3,00;;ABRAÇADEIRA DE NYLON BRANCA 48X250 C/100;6752;8,27;14,00;5,73
50,00;;ABRAÇADEIRA DE NYLON BRANCA 7,6X500 UNIT;6754;0,39;0,60;0,21
3,00;;ABRACADEIRA DE POSTE CIMENTO 1X1;2032;0,00;1,50;1,50
45,00;;ABRACADEIRA FLUOR. ZINCADO 20/40;2029;0,00;0,50;0,50
4,00;;ABRAÇADEIRA NYLOM BRANCA 36X200 C/100;8011;4,29;6,50;2,21
78,00;;ABRAÇADEIRA NYLOM BRANCA 36X200 UNID;8012;0,04;0,10;0,06
1,00;;ABRACADEIRA NYLON 2,5MM X 100MM  C/ 100 UNIDADES;5363;1,48;3,50;2,02
3,00;;ABRACADEIRA NYLON 2,5MM X 150MM  C/ 100 UNIDADES;5123;1,90;4,00;2,10
0,00;;ABRACADEIRA NYLON 2,5MM X 150MM  UNIDADE;5124;0,00;0,10;0,10
0,00;;ABRACADEIRA NYLON 2,5MM X 180MM C/ 100 UNIDADES;5125;0,00;4,50;4,50
2,00;;ABRACADEIRA NYLON 2,5MM X 180MM UNIDADE;5224;0,00;0,10;0,10
0,00;;ABRACADEIRA NYLON 2,5MM X 200 MM C 100 PCS;5127;2,68;4,50;1,82
11,00;;ABRACADEIRA NYLON 2,5MM X 200 MM UNIDADE;5225;0,00;0,10;0,10
0,00;;ABRACADEIRA NYLON 2,5X100 BRASFORT C/ 100 UNIDADES;4949;0,00;2,50;2,50
30,00;;ABRACADEIRA NYLON 2,5X100 BRASFORT UNIDADE;5122;0,00;0,05;0,05
-2,00;;ABRACADEIRA NYLON 3,6MM X200MM PRETA BRASFORT C/ 100 UNIDADES;4134;4,30;6,50;2,20
0,00;;ABRACADEIRA NYLON 3,6X150;4132;3,54;5,50;1,96
-1,00;;ABRACADEIRA NYLON 3,6X200 PCT;4381;4,91;7,50;2,59
-2,00;;ABRACADEIRA NYLON 3,6X250 BRASFORTE;4133;0,00;7,00;7,00
3,00;;ABRACADEIRA NYLON BRANCA 2,5MM X 180MM UNIDADE;5126;0,00;0,10;0,10
-1,00;;ABRACADEIRA NYLON BRANCA 4,8MM X 400MM C/100;5131;15,84;24,00;8,16
91,00;;ABRACADEIRA NYLON BRANCA 4,8MM X 400MM UNIDADE;5132;0,00;0,30;0,30
3,00;;ABRAÇADEIRA NYLON BRANCA 48X300;7943;8,81;14,50;5,69
2,00;;ABRAÇADEIRA NYLON BRANCA 48X400 PCTE;7945;15,18;23,00;7,82
42,00;;ABRACADEIRA NYLON BRANCA 7,6MM X 450 MM UNIDADE;5130;0,00;0,40;0,40
0,00;;ABRACADEIRA NYLON BRASFORT 2,5MM X 80 MM C/ 100 UNIDADES;5121;0,00;2,50;2,50
30,00;;ABRACADEIRA NYLON BRASFORT 2,5MM X 80 MM UNIDADE;5120;0,00;0,05;0,05
5,00;;ABRACADEIRA NYLON PRETA 4,8X300  UNIDADE;5129;0,00;0,20;0,20
48,00;;ABRACADEIRA NYLON PRETO 3,6MM X 200 MM UNIDADE;5128;0,00;0,15;0,15
0,00;;ABRACADEIRA P/ ANTENA;2030;0,00;1,80;1,80
